date,global_solar_mj_m2,data_completeness_x,mean_relative_humidity_percent,data_completeness_y,bright_sunshine_hours,data_completeness,solar_source_type,humidity_source_type,sunshine_source_type
2025-04-15,26.74,C,46.0,C,11.0,C,official_open_data,official_open_data,official_open_data
2025-04-16,26.23,C,75.0,C,11.3,C,official_open_data,official_open_data,official_open_data
2025-04-17,19.09,C,80.0,C,5.9,C,official_open_data,official_open_data,official_open_data
2025-04-18,3.56,C,93.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-04-19,7.49,C,87.0,C,0.7,C,official_open_data,official_open_data,official_open_data
2025-04-20,24.12,C,81.0,C,8.1,C,official_open_data,official_open_data,official_open_data
2025-04-21,14.77,C,80.0,C,4.0,C,official_open_data,official_open_data,official_open_data
2025-04-22,19.25,C,79.0,C,5.7,C,official_open_data,official_open_data,official_open_data
2025-04-23,22.99,C,79.0,C,8.0,C,official_open_data,official_open_data,official_open_data
2025-04-24,16.58,C,79.0,C,4.4,C,official_open_data,official_open_data,official_open_data
2025-04-25,5.73,C,90.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-04-26,7.8,C,87.0,C,0.1,C,official_open_data,official_open_data,official_open_data
2025-04-27,7.07,C,94.0,C,0.5,C,official_open_data,official_open_data,official_open_data
2025-04-28,12.84,C,85.0,C,3.1,C,official_open_data,official_open_data,official_open_data
2025-04-29,24.17,C,63.0,C,9.3,C,official_open_data,official_open_data,official_open_data
2025-04-30,21.24,C,77.0,C,7.2,C,official_open_data,official_open_data,official_open_data
2025-05-01,12.62,C,84.0,C,1.8,C,official_open_data,official_open_data,official_open_data
2025-05-02,26.34,C,75.0,C,11.3,C,official_open_data,official_open_data,official_open_data
2025-05-03,13.32,C,82.0,C,2.9,C,official_open_data,official_open_data,official_open_data
2025-05-04,18.85,C,83.0,C,5.0,C,official_open_data,official_open_data,official_open_data
2025-05-05,15.39,C,81.0,C,3.5,C,official_open_data,official_open_data,official_open_data
2025-05-06,11.83,C,83.0,C,1.7,C,official_open_data,official_open_data,official_open_data
2025-05-07,4.99,C,90.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-05-08,15.35,C,89.0,C,2.4,C,official_open_data,official_open_data,official_open_data
2025-05-09,11.48,C,83.0,C,2.3,C,official_open_data,official_open_data,official_open_data
2025-05-10,12.91,C,75.0,C,2.6,C,official_open_data,official_open_data,official_open_data
2025-05-11,21.18,C,53.0,C,6.3,C,official_open_data,official_open_data,official_open_data
2025-05-12,27.86,C,53.0,C,11.3,C,official_open_data,official_open_data,official_open_data
2025-05-13,22.17,C,74.0,C,8.0,C,official_open_data,official_open_data,official_open_data
2025-05-14,22.15,C,80.0,C,7.3,C,official_open_data,official_open_data,official_open_data
2025-05-15,26.83,C,81.0,C,9.4,C,official_open_data,official_open_data,official_open_data
2025-05-16,12.33,C,85.0,C,2.6,C,official_open_data,official_open_data,official_open_data
2025-05-17,17.79,C,80.0,C,5.7,C,official_open_data,official_open_data,official_open_data
2025-05-18,22.66,C,79.0,C,7.2,C,official_open_data,official_open_data,official_open_data
