month,load_kwh,pv_generation_kwh,grid_import_kwh,grid_export_kwh,peak_grid_import_kw,battery_charge_kwh,battery_discharge_kwh,scenario,configuration
12,817155.0009252294,135350.3585604567,686209.0921641163,0.0,1353.9677802247716,45173.84409583224,40769.39429648858,conservative,full_microgrid_v2g
1,802030.8758444915,0.0,802030.8758444915,0.0,2000.2403307214208,0.0,0.0,design,grid_only
2,719405.6264897069,0.0,719405.6264897069,0.0,1955.5801574041204,0.0,0.0,design,grid_only
3,829047.0536279435,0.0,829047.0536279435,0.0,2228.7327635206243,0.0,0.0,design,grid_only
4,917377.6300449923,0.0,917377.6300449923,0.0,2678.003280173614,0.0,0.0,design,grid_only
5,1084015.046733087,0.0,1084015.046733087,0.0,3355.6964357136653,0.0,0.0,design,grid_only
6,1119480.7012048315,0.0,1119480.7012048315,0.0,3407.799711701641,0.0,0.0,design,grid_only
7,1203556.8849307133,0.0,1203556.8849307133,0.0,3599.7895096121247,0.0,0.0,design,grid_only
8,1192308.842857548,0.0,1192308.842857548,0.0,3542.108427869001,0.0,0.0,design,grid_only
9,1131024.7553792365,0.0,1131024.7553792365,0.0,3420.0388421951357,0.0,0.0,design,grid_only
10,1072236.2024273165,0.0,1072236.2024273165,0.0,2973.287309806134,0.0,0.0,design,grid_only
11,886361.3795349033,0.0,886361.3795349033,0.0,2598.4338874744208,0.0,0.0,design,grid_only
12,817155.0009252294,0.0,817155.0009252294,0.0,2094.78898787157,0.0,0.0,design,grid_only
1,802030.8758444915,100071.57829522733,701959.2975492642,0.0,1740.1738127184392,0.0,0.0,design,roof_pv_only
2,719405.6264897069,73148.83934718375,646256.7871425231,0.0,1744.3912964665162,0.0,0.0,design,roof_pv_only
3,829047.0536279435,85924.84411802942,743122.209509914,0.0,1893.7768942699724,0.0,0.0,design,roof_pv_only
4,917377.6300449923,90744.4272165818,826633.2028284105,0.0,2315.5763882826345,0.0,0.0,design,roof_pv_only
5,1084015.046733087,88581.15521655089,995433.8915165361,0.0,2855.4300871747773,0.0,0.0,design,roof_pv_only
6,1119480.7012048315,91489.67265435879,1027991.0285504727,0.0,2977.8853381215995,0.0,0.0,design,roof_pv_only
7,1203556.8849307133,98752.18994923418,1104804.6949814793,0.0,3292.921570237131,0.0,0.0,design,roof_pv_only
8,1192308.842857548,88097.8350992073,1104211.0077583408,0.0,3236.717923459992,0.0,0.0,design,roof_pv_only
9,1131024.7553792365,95809.54047104542,1035215.2149081912,0.0,3112.176969868086,0.0,0.0,design,roof_pv_only
10,1072236.2024273165,94605.03186588523,977631.1705614312,0.0,2762.0855073883363,0.0,0.0,design,roof_pv_only
11,886361.3795349033,83707.34949470988,802654.0300401935,0.0,2351.7420299360792,0.0,0.0,design,roof_pv_only
12,817155.0009252294,80091.45945288675,737063.5414723426,0.0,1832.158334003879,0.0,0.0,design,roof_pv_only
